"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"90",8,"Tyrion Davis-Price",SF,"9","4 out of 5 stars","+11"
"91",8,"Chris Evans",CIN,"7","3 out of 5 stars","+8"
"92",8,"Hassan Haskins",TEN,"7","4 out of 5 stars","-"
"93",9,"Eric Gray",NYG,"13","2 out of 5 stars","-8"
"94",9,"DeeJay Dallas",SEA,"5","2 out of 5 stars","-"
"95",9,"Melvin Gordon III",BAL,"13","3 out of 5 stars","-11"
"96",9,"Trayveon Williams",CIN,"7","3 out of 5 stars","+2"
"97",9,"Salvon Ahmed",MIA,"10","1 out of 5 stars","-"
"98",9,"Myles Gaskin",MIA,"10","1 out of 5 stars","-"
"99",9,"Deon Jackson",IND,"11","3 out of 5 stars","-22"
"100",9,"Kenyan Drake",IND,"11","3 out of 5 stars","-10"
"101",9,"Ke'Shawn Vaughn",TB,"5","3 out of 5 stars","-8"
"102",9,"Kenny McIntosh",SEA,"5","2 out of 5 stars","-13"
"103",9,"Deneric Prince",KC,"10","4 out of 5 stars","-30"
"104",9,"J.D. McKissic",FA,"-","-","-17"
"105",9,"Chris Rodriguez Jr.",WAS,"14","3 out of 5 stars","-3"
"106",9,"Ameer Abdullah",LV,"13","3 out of 5 stars","-"
"107",9,"Kevin Harris",NE,"11","2 out of 5 stars","-"
"108",9,"Raheem Blackshear",CAR,"7","4 out of 5 stars","-12"
"109",9,"Kene Nwangwu",MIN,"13","5 out of 5 stars","-"
"110",9,"Dontrell Hilliard",FA,"-","-","-15"
"111",9,"Darrell Henderson Jr.",FA,"-","-","-"
"112",10,"Ty Montgomery",NE,"11","2 out of 5 stars","-"
"113",10,"Darrel Williams",NO,"11","4 out of 5 stars","-"
"114",10,"Justice Hill",BAL,"13","3 out of 5 stars","-23"
"115",10,"Craig Reynolds",DET,"9","5 out of 5 stars","-"
"116",10,"Corey Clement",ARI,"14","3 out of 5 stars","-13"
"117",10,"Rico Dowdle",DAL,"7","3 out of 5 stars","-17"
"118",10,"Mike Boone",HOU,"7","3 out of 5 stars","-"
"119",10,"Mark Ingram II",FA,"-","-","-"
"120",10,"Ty Johnson",FA,"-","-","-"
"121",10,"Rex Burkhead",FA,"-","-","-"
"122",10,"Travis Homer",CHI,"13","5 out of 5 stars","-"
"123",10,"Trey Sermon",PHI,"10","1 out of 5 stars","-"
"124",10,"Mohamed Ibrahim",DET,"9","5 out of 5 stars","-"
"125",10,"Tyler Badie",DEN,"9","4 out of 5 stars","-"
"126",10,"Keaton Mitchell",BAL,"13","3 out of 5 stars","-"
"127",10,"Kyle Juszczyk",SF,"9","4 out of 5 stars","-"
"128",10,"Trestan Ebner",CHI,"13","5 out of 5 stars","-"
"129",10,"Anthony McFarland Jr.",PIT,"6","3 out of 5 stars","-"
"130",10,"Demetric Felton Jr.",CLE,"5","3 out of 5 stars","-"
"131",10,"Brandon Bolden",LV,"13","3 out of 5 stars","-"
"132",10,"Tony Jones Jr.",DEN,"9","4 out of 5 stars","-"
"133",10,"Snoop Conner",JAC,"9","2 out of 5 stars","-"
"134",10,"Julius Chestnut",TEN,"7","4 out of 5 stars","-"
"135",11,"Gary Brightwell",NYG,"13","2 out of 5 stars","-"
"136",11,"Patrick Taylor Jr.",GB,"6","4 out of 5 stars","-"
"137",11,"Dare Ogunbowale",HOU,"7","3 out of 5 stars","-"
"138",11,"Patrick Ricard",BAL,"13","3 out of 5 stars","-"
"139",11,"Lew Nichols III",GB,"6","4 out of 5 stars","-"
"140",11,"Darrynton Evans",BUF,"13","2 out of 5 stars","-"
"141",11,"Royce Freeman",LAR,"10","3 out of 5 stars","-"
"142",11,"Jonathan Williams",WAS,"14","3 out of 5 stars","-"
"143",11,"Damien Williams",LV,"13","3 out of 5 stars","-"
"144",11,"Alec Ingold",MIA,"10","1 out of 5 stars","-"
"145",11,"Brittain Brown",LV,"13","3 out of 5 stars","-"
"146",11,"Ronnie Rivers",LAR,"10","3 out of 5 stars","-"
"147",11,"Ty'Son Williams",ARI,"14","3 out of 5 stars","-"
"148",11,"Jonathan Ward",TEN,"7","4 out of 5 stars","-"
"149",11,"Jaret Patterson",WAS,"14","3 out of 5 stars","-"
"150",11,"Tiyon Evans",FA,"-","-","-"
"151",11,"Elijah Dotson",LAC,"5","3 out of 5 stars","-"
"152",11,"Caleb Huntley",FA,"-","-","-"
"153",11,"Jaleel McLaughlin",DEN,"9","4 out of 5 stars","-"
"154",11,"John Kelly Jr.",CLE,"5","3 out of 5 stars","-"
"155",11,"Keith Smith",ATL,"11","4 out of 5 stars","-"
"156",11,"Zander Horvath",LAC,"5","3 out of 5 stars","-"
"157",11,"Larry Rountree III",FA,"-","-","-"
